State,Year,Illnesses,Hospitalizations,Fatalities,Illnesses_log,time zone,Cluster
California,2007,1865,70.0,1.0,7.5310163320779155,PTZ,5
Colorado,2007,5790,25.0,1.0,6.361302477572996,MTZ,2
Connecticut,2007,1146,6.0,0.0,5.25227342804663,ETZ,3
Delaware,2007,30,2.0,0.0,1.6094379124341003,ETZ,0
Florida,2007,1614,8.0,1.0,5.594711379601839,ETZ,3
Georgia,2007,3048,28.0,0.0,6.230481447578482,ETZ,2
Hawaii,2007,1208,7.0,0.0,5.017279836814924,HSTZ,0
Idaho,2007,20,0.0,0.0,0.6931471805599453,MTZ,0
Illinois,2007,9444,59.0,0.0,7.766840537085513,CTZ,1
Indiana,2007,150,6.0,0.0,3.2188758248682006,ETZ,0
Iowa,2007,1256,2.0,0.0,5.749392985908253,CTZ,3
Kansas,2007,4870,13.0,0.0,6.18826412308259,MTZ,2
Kentucky,2007,246,0.0,0.0,3.713572066704308,ETZ,0
Louisiana,2007,320,8.0,1.0,4.382026634673881,CTZ,0
Maine,2007,13188,39.0,0.0,7.6953031349635665,ETZ,1
Maryland,2007,2178,8.0,0.0,5.8944028342648505,ETZ,3
Massachusetts,2007,1296,34.0,3.0,5.375278407684165,ETZ,3
Michigan,2007,1650,9.0,3.0,5.616771097666572,ETZ,3
Minnesota,2007,2496,40.0,0.0,6.436150368369428,CTZ,2
Mississippi,2007,268,0.0,0.0,4.204692619390966,CTZ,0
Missouri,2007,932,5.0,0.0,5.4510384535657,CTZ,3
Nebraska,2007,40,2.0,0.0,1.3862943611198906,MTZ,0
New Hampshire,2007,384,2.0,0.0,4.1588830833596715,ETZ,0
New Jersey,2007,1950,22.0,0.0,5.783825182329737,ETZ,3
New Mexico,2007,480,1.0,0.0,3.871201010907891,MTZ,0
New York,2007,3438,17.0,1.0,6.35088571671474,ETZ,2
North Carolina,2007,804,19.0,1.0,4.897839799950911,ETZ,0
North Dakota,2007,820,1.0,0.0,4.406719247264253,MTZ,0
Ohio,2007,5232,37.0,0.0,6.77078942390898,ETZ,4
Oklahoma,2007,64,0.0,0.0,2.772588722239781,CTZ,0
Oregon,2007,6800,7.0,0.0,6.522092798170152,MTZ,2
Pennsylvania,2007,4896,30.0,0.0,6.704414354964107,ETZ,4
Rhode Island,2007,222,1.0,0.0,3.6109179126442243,ETZ,0
South Carolina,2007,2094,11.0,0.0,5.855071922202427,ETZ,3
South Dakota,2007,110,6.0,0.0,2.3978952727983707,MTZ,0
Tennessee,2007,984,11.0,0.0,5.099866427824199,ETZ,0
Texas,2007,4740,24.0,2.0,6.161207321695077,MTZ,2
Utah,2007,620,4.0,0.0,4.127134385045092,MTZ,0
Vermont,2007,438,2.0,0.0,4.290459441148391,ETZ,0
Virginia,2007,672,12.0,0.0,4.718498871295094,ETZ,0
Washington,2007,642,13.0,0.0,6.464588303689961,PTZ,2
Washington DC,2007,54,0.0,0.0,2.1972245773362196,ETZ,0
West Virginia,2007,90,5.0,0.0,2.70805020110221,ETZ,0
Wisconsin,2007,2184,4.0,0.0,6.302618975744905,CTZ,2
Wyoming,2007,600,3.0,0.0,4.0943445622221,MTZ,0
Alabama,2008,412,10.0,0.0,4.634728988229636,CTZ,1
Alaska,2008,244,12.0,0.0,4.804021044733257,ADTZ,1
Arizona,2008,4560,33.0,0.0,6.1224928095143865,MTZ,2
Arkansas,2008,16,1.0,0.0,1.3862943611198906,CTZ,1
California,2008,2246,82.0,2.0,7.716906135298388,PTZ,3
Colorado,2008,7450,17.0,0.0,6.61338421837956,MTZ,0
Connecticut,2008,1254,8.0,0.0,5.342334251964811,ETZ,5
Delaware,2008,216,0.0,0.0,3.58351893845611,ETZ,1
Florida,2008,3228,9.0,0.0,6.2878585601617845,ETZ,2
Georgia,2008,3534,17.0,0.0,6.3784261836515865,ETZ,2
Hawaii,2008,1536,0.0,0.0,5.2574953720277815,HSTZ,5
Idaho,2008,250,0.0,0.0,3.2188758248682006,MTZ,1
Illinois,2008,3852,27.0,3.0,6.870053411798126,CTZ,0
Iowa,2008,208,7.0,0.0,3.9512437185814275,CTZ,1
Kansas,2008,5500,10.0,0.0,6.309918278226516,MTZ,2
Kentucky,2008,852,4.0,1.0,4.955827057601261,ETZ,1
Louisiana,2008,312,1.0,0.0,4.356708826689592,CTZ,1
Maine,2008,3942,10.0,0.0,6.48768401848461,ETZ,2
Maryland,2008,3624,13.0,0.0,6.403574197934815,ETZ,2
Massachusetts,2008,1686,14.0,0.0,5.638354669333745,ETZ,5
Michigan,2008,2724,14.0,0.0,6.118097198041348,ETZ,2
Minnesota,2008,2948,19.0,0.0,6.602587892189336,CTZ,0
Missouri,2008,652,6.0,0.0,5.093750200806762,CTZ,5
Nevada,2008,38,2.0,0.0,3.6375861597263857,PTZ,1
New Hampshire,2008,378,0.0,0.0,4.143134726391533,ETZ,1
New Jersey,2008,606,8.0,1.0,4.61512051684126,ETZ,1
New Mexico,2008,550,10.0,0.0,4.007333185232471,MTZ,1
New York,2008,7554,77.0,3.0,7.138073034044347,ETZ,4
North Carolina,2008,1530,32.0,0.0,5.541263545158426,ETZ,5
North Dakota,2008,510,1.0,0.0,3.9318256327243257,MTZ,1
Ohio,2008,8286,30.0,0.0,7.2305631534092925,ETZ,4
